OBJECTID,FECHA,ID_BALIZA,Máximo,Promedio,MEDIA,MAXIMO
1,2022/01/08 00:00:00+00,1,0,0,0,0
2,2022/01/08 00:00:00+00,2,0,0,0,0
3,2022/01/08 00:00:00+00,3,0,0,0,0
4,2022/01/08 00:00:00+00,4,0,0,0,0
5,2022/01/08 00:00:00+00,5,0,0,0,0
6,2022/01/08 00:00:00+00,6,0,0,0,0
7,2022/01/08 00:00:00+00,7,0,0,0,0
8,2022/01/08 00:00:00+00,8,0,0,0,0
9,2022/01/08 00:00:00+00,9,0,0,0,0
10,2022/01/08 00:00:00+00,10,0,0,0,0
11,2022/01/08 00:00:00+00,11,0,0,0,0
12,2022/01/08 00:00:00+00,12,0,0,0,0
13,2022/01/08 00:00:00+00,13,0,0,0,0
14,2022/01/08 00:00:00+00,14,0,0,0,0
16,2022/01/09 00:00:00+00,1,,,,
17,2022/01/09 00:00:00+00,2,,,,
18,2022/01/09 00:00:00+00,3,,,,
19,2022/01/09 00:00:00+00,4,,,,
20,2022/01/09 00:00:00+00,5,,,,
21,2022/01/09 00:00:00+00,6,37371,13282,13282,37371
22,2022/01/09 00:00:00+00,7,,,,
23,2022/01/09 00:00:00+00,8,,,,
24,2022/01/09 00:00:00+00,9,,,,
25,2022/01/09 00:00:00+00,10,,,,
26,2022/01/09 00:00:00+00,11,,,,
27,2022/01/09 00:00:00+00,12,,,,
28,2022/01/09 00:00:00+00,13,,,,
29,2022/01/09 00:00:00+00,14,,,,
31,2022/01/10 00:00:00+00,1,,,,
32,2022/01/10 00:00:00+00,2,,,,
33,2022/01/10 00:00:00+00,3,,,,
34,2022/01/10 00:00:00+00,4,,,,
35,2022/01/10 00:00:00+00,5,,,,
36,2022/01/10 00:00:00+00,6,33451,15865,15865,33451
37,2022/01/10 00:00:00+00,7,,,,
38,2022/01/10 00:00:00+00,8,,,,
39,2022/01/10 00:00:00+00,9,,,,
40,2022/01/10 00:00:00+00,10,,,,
41,2022/01/10 00:00:00+00,11,,,,
42,2022/01/10 00:00:00+00,12,,,,
43,2022/01/10 00:00:00+00,13,,,,
44,2022/01/10 00:00:00+00,14,,,,
46,2022/01/11 00:00:00+00,1,,,,
47,2022/01/11 00:00:00+00,2,,,,
48,2022/01/11 00:00:00+00,3,,,,
49,2022/01/11 00:00:00+00,4,,,,
50,2022/01/11 00:00:00+00,5,,,,
51,2022/01/11 00:00:00+00,6,27851,14482,14482,27851
52,2022/01/11 00:00:00+00,7,,,,
53,2022/01/11 00:00:00+00,8,,,,
54,2022/01/11 00:00:00+00,9,,,,
55,2022/01/11 00:00:00+00,10,,,,
56,2022/01/11 00:00:00+00,11,,,,
57,2022/01/11 00:00:00+00,12,,,,
58,2022/01/11 00:00:00+00,13,,,,
59,2022/01/11 00:00:00+00,14,,,,
61,2022/01/12 00:00:00+00,1,,,,
62,2022/01/12 00:00:00+00,2,,,,
63,2022/01/12 00:00:00+00,3,,,,
64,2022/01/12 00:00:00+00,4,,,,
65,2022/01/12 00:00:00+00,5,,,,
66,2022/01/12 00:00:00+00,6,32441,15382,15382,32441
67,2022/01/12 00:00:00+00,7,,,,
68,2022/01/12 00:00:00+00,8,,,,
69,2022/01/12 00:00:00+00,9,,,,
70,2022/01/12 00:00:00+00,10,,,,
71,2022/01/12 00:00:00+00,11,,,,
72,2022/01/12 00:00:00+00,12,,,,
73,2022/01/12 00:00:00+00,13,,,,
74,2022/01/12 00:00:00+00,14,,,,
76,2022/01/13 00:00:00+00,1,,,,
77,2022/01/13 00:00:00+00,2,,,,
78,2022/01/13 00:00:00+00,3,,,,
79,2022/01/13 00:00:00+00,4,,,,
80,2022/01/13 00:00:00+00,5,,,,
81,2022/01/13 00:00:00+00,6,23376,14569,14569,23376
82,2022/01/13 00:00:00+00,7,,,,
83,2022/01/13 00:00:00+00,8,,,,
84,2022/01/13 00:00:00+00,9,,,,
85,2022/01/13 00:00:00+00,10,,,,
86,2022/01/13 00:00:00+00,11,,,,
87,2022/01/13 00:00:00+00,12,,,,
88,2022/01/13 00:00:00+00,13,,,,
89,2022/01/13 00:00:00+00,14,,,,
91,2022/01/14 00:00:00+00,1,,,,
92,2022/01/14 00:00:00+00,2,,,,
93,2022/01/14 00:00:00+00,3,,,,
94,2022/01/14 00:00:00+00,4,,,,
95,2022/01/14 00:00:00+00,5,,,,
96,2022/01/14 00:00:00+00,6,44450,12027,12027,44450
97,2022/01/14 00:00:00+00,7,,,,
98,2022/01/14 00:00:00+00,8,,,,
99,2022/01/14 00:00:00+00,9,,,,
100,2022/01/14 00:00:00+00,10,,,,
101,2022/01/14 00:00:00+00,11,,,,
102,2022/01/14 00:00:00+00,12,,,,
103,2022/01/14 00:00:00+00,13,,,,
104,2022/01/14 00:00:00+00,14,,,,
106,2022/01/15 00:00:00+00,1,,,,
107,2022/01/15 00:00:00+00,2,,,,
108,2022/01/15 00:00:00+00,3,,,,
109,2022/01/15 00:00:00+00,4,,,,
110,2022/01/15 00:00:00+00,5,,,,
111,2022/01/15 00:00:00+00,6,43138,11798,11798,43138
112,2022/01/15 00:00:00+00,7,,,,
113,2022/01/15 00:00:00+00,8,,,,
114,2022/01/15 00:00:00+00,9,,,,
115,2022/01/15 00:00:00+00,10,,,,
116,2022/01/15 00:00:00+00,11,,,,
117,2022/01/15 00:00:00+00,12,,,,
118,2022/01/15 00:00:00+00,13,,,,
119,2022/01/15 00:00:00+00,14,,,,
121,2022/01/16 00:00:00+00,1,,,,
122,2022/01/16 00:00:00+00,2,,,,
123,2022/01/16 00:00:00+00,3,,,,
124,2022/01/16 00:00:00+00,4,,,,
125,2022/01/16 00:00:00+00,5,,,,
126,2022/01/16 00:00:00+00,6,24233,4556,4556,24233
127,2022/01/16 00:00:00+00,7,,,,
128,2022/01/16 00:00:00+00,8,,,,
129,2022/01/16 00:00:00+00,9,,,,
130,2022/01/16 00:00:00+00,10,,,,
131,2022/01/16 00:00:00+00,11,,,,
132,2022/01/16 00:00:00+00,12,,,,
133,2022/01/16 00:00:00+00,13,,,,
134,2022/01/16 00:00:00+00,14,,,,
136,2022/01/17 00:00:00+00,1,0,0,0,0
137,2022/01/17 00:00:00+00,2,0,0,0,0
138,2022/01/17 00:00:00+00,3,0,0,0,0
139,2022/01/17 00:00:00+00,4,0,0,0,0
140,2022/01/17 00:00:00+00,5,0,0,0,0
141,2022/01/17 00:00:00+00,6,23135,5603,5603,23135
142,2022/01/17 00:00:00+00,7,0,0,0,0
143,2022/01/17 00:00:00+00,8,0,0,0,0
144,2022/01/17 00:00:00+00,9,0,0,0,0
145,2022/01/17 00:00:00+00,10,0,0,0,0
146,2022/01/17 00:00:00+00,11,0,0,0,0
147,2022/01/17 00:00:00+00,12,0,0,0,0
148,2022/01/17 00:00:00+00,13,0,0,0,0
149,2022/01/17 00:00:00+00,14,0,0,0,0
151,2022/01/18 00:00:00+00,1,0,0,0,0
152,2022/01/18 00:00:00+00,2,0,0,0,0
153,2022/01/18 00:00:00+00,3,0,0,0,0
154,2022/01/18 00:00:00+00,4,0,0,0,0
155,2022/01/18 00:00:00+00,5,0,0,0,0
156,2022/01/18 00:00:00+00,6,15238,6822,6822,15238
157,2022/01/18 00:00:00+00,7,0,0,0,0
158,2022/01/18 00:00:00+00,8,0,0,0,0
159,2022/01/18 00:00:00+00,9,9640,2856,2856,9640
160,2022/01/18 00:00:00+00,10,0,0,0,0
161,2022/01/18 00:00:00+00,11,0,0,0,0
162,2022/01/18 00:00:00+00,12,0,0,0,0
163,2022/01/18 00:00:00+00,13,0,0,0,0
164,2022/01/18 00:00:00+00,14,0,0,0,0
166,2022/01/19 00:00:00+00,1,0,0,0,0
167,2022/01/19 00:00:00+00,2,0,0,0,0
168,2022/01/19 00:00:00+00,3,157399,74656,74656,157399
169,2022/01/19 00:00:00+00,4,0,0,0,0
170,2022/01/19 00:00:00+00,5,0,0,0,0
171,2022/01/19 00:00:00+00,6,24378,8503,8503,24378
172,2022/01/19 00:00:00+00,7,0,0,0,0
173,2022/01/19 00:00:00+00,8,0,0,0,0
174,2022/01/19 00:00:00+00,9,36744,4681,4681,36744
175,2022/01/19 00:00:00+00,10,0,0,0,0
176,2022/01/19 00:00:00+00,11,0,0,0,0
177,2022/01/19 00:00:00+00,12,0,0,0,0
178,2022/01/19 00:00:00+00,13,0,0,0,0
179,2022/01/19 00:00:00+00,14,0,0,0,0
181,2022/01/20 00:00:00+00,1,0,0,0,0
182,2022/01/20 00:00:00+00,2,0,0,0,0
183,2022/01/20 00:00:00+00,3,141118,45385,45385,141118
